fips15,census_tract,census_block,ward_2010,anc_2010
110010027023006,0027,3006,3,3C
110010098011008,0098,1008,8,8E
110010062021166,0062,1166,2,2A
110010016004031,0016,4031,3,3G
110010095031000,0095,1000,5,5A
110010003003006,0003,3006,2,2E
110010078082013,0078,2013,7,7C
110010026001019,0026,1019,4,4A
110010109002038,0109,2038,8,8D
110010001004034,0001,4034,2,2E
110010062021227,0062,1227,2,2A
110010026002013,0026,2013,4,4A
110010002024010,0002,4010,3,3D
110010015003009,0015,3009,3,3G
110010001004049,0001,4049,2,2A
110010001004046,0001,4046,2,2E
110010078083005,0078,3005,7,7C
110010023021011,0023,1011,5,5A
110010096041007,0096,1007,7,7D
110010102002032,0102,2032,6,6D
110010109002007,0109,2007,8,8D
110010062021093,0062,1093,2,2A
110010015001019,0015,1019,3,3G
110010109002031,0109,2031,8,8D
110010111003043,0111,3043,5,5C
110010111003033,0111,3033,5,5C
110010018031012,0018,1012,4,4A
110010039002008,0039,2008,3,3C
110010002024019,0002,4019,2,2E
110010078041012,0078,1012,7,7C
110010077091009,0077,1009,7,7B
110010096011004,0096,1004,7,7D
110010111003024,0111,3024,5,5C
110010001004020,0001,4020,2,2E
110010026001015,0026,1015,3,3F
110010062021225,0062,1225,2,2A
110010009022011,0009,2011,3,3D
110010111003055,0111,3055,5,5C
110010109002042,0109,2042,8,8D
110010077082020,0077,2020,7,7B
110010072002065,0072,2065,6,6D
110010062021191,0062,1191,6,6D
110010109002005,0109,2005,8,8D
110010098011011,0098,1011,8,8C
110010062021044,0062,1044,2,2A
110010007022000,0007,2000,3,3B
110010078031001,0078,1001,7,7D
110010008014013,0008,4013,3,3D
110010074011000,0074,1000,8,8A
110010071001020,0071,1020,6,6B
110010039002005,0039,2005,1,1C
110010073011008,0073,1008,8,8C
110010009022013,0009,2013,3,3D
110010097001011,0097,1011,8,8E
110010008021000,0008,1000,3,3D
110010077032007,0077,2007,7,7F
110010056001010,0056,1010,2,2A
110010073041010,0073,1010,8,8E
110010056002010,0056,2010,2,2A
110010018031013,0018,1013,4,4A
110010110002001,0110,2001,6,6D
110010008014008,0008,4008,3,3D
110010111003025,0111,3025,5,5C
110010111003034,0111,3034,5,5C
110010008021015,0008,1015,3,3D
110010008014010,0008,4010,3,3D
110010009022012,0009,2012,3,3D
110010073011009,0073,1009,8,8C
110010072002060,0072,2060,6,6D
110010002024020,0002,4020,2,2E
110010073011033,0073,1033,8,8D
110010073011010,0073,1010,8,8D
110010098011000,0098,1000,8,8C
110010098101003,0098,1003,8,8D
110010062021226,0062,1226,2,2A
110010096022005,0096,2005,7,7D
110010009022008,0009,2008,3,3D
110010076015000,0076,5000,8,8A
110010062021095,0062,1095,2,2A
110010096011001,0096,1001,7,7D
110010109002041,0109,2041,8,8D
110010062021081,0062,1081,2,2A
110010111003050,0111,3050,5,5C
110010062021217,0062,1217,2,2A
110010064002019,0064,2019,6,6D
110010072002064,0072,2064,6,6D
110010074011001,0074,1001,8,8A
110010076015004,0076,5004,8,8A
110010008014009,0008,4009,3,3D
110010073041000,0073,1000,8,8E
110010056001011,0056,1011,2,2E
110010090001005,0090,1005,5,5C
110010068041015,0068,1015,7,7F
110010109002025,0109,2025,8,8D
110010102002031,0102,2031,6,6D
110010013021001,0013,1001,3,3F
110010095083000,0095,3000,5,5A
110010074081000,0074,1000,8,8B
110010073011003,0073,1003,8,8C
110010062021086,0062,1086,2,2A
110010078083003,0078,3003,7,7C
110010016004014,0016,4014,4,4A
110010002024015,0002,4015,2,2E
110010006003000,0006,3000,3,3C
110010026001020,0026,1020,3,3C
110010062021090,0062,1090,2,2A
110010009022010,0009,2010,3,3D
110010009022023,0009,2023,3,3D
110010062021167,0062,1167,2,2A
110010055002003,0055,2003,2,2B
110010098011001,0098,1001,8,8E
110010027023019,0027,3019,3,3C
110010111001034,0111,1034,5,5C
110010073011007,0073,1007,8,8C
110010009012005,0009,2005,3,3D
110010001004048,0001,4048,2,2E
110010111003056,0111,3056,5,5D
110010041003019,0041,3019,2,2D
110010110002004,0110,2004,6,6D
110010090001004,0090,1004,5,5C
110010078081003,0078,1003,7,7C
110010009022009,0009,2009,3,3D
110010010021000,0010,1000,3,3D
110010111003027,0111,3027,5,5C
110010062021087,0062,1087,2,2A
110010098011010,0098,1010,8,8C
110010072002061,0072,2061,6,6D
110010062021172,0062,1172,2,2A
110010002024034,0002,4034,2,2E
110010091021012,0091,1012,5,5C
110010062021249,0062,1249,2,2A
110010020012013,0020,2013,4,4A
110010062021110,0062,1110,2,2C
110010068041019,0068,1019,7,7D
110010062021083,0062,1083,2,2A
110010018031010,0018,1010,4,4A
110010027023005,0027,3005,1,1D
110010062021067,0062,1067,2,2A
110010071001019,0071,1019,6,6B
110010027023020,0027,3020,3,3C
110010004002009,0004,2009,3,3C
110010005012001,0005,2001,3,3C
110010001004025,0001,4025,2,2E
110010008021002,0008,1002,3,3D
110010008021019,0008,1019,3,3D
110010068041000,0068,1000,7,7D
110010041002007,0041,2007,2,2D
110010097001000,0097,1000,8,8E
110010026002014,0026,2014,3,3F
110010064002031,0064,2031,6,6D
110010062021250,0062,1250,2,2A
110010064002020,0064,2020,6,6D
110010013011011,0013,1011,3,3F
110010023021005,0023,1005,5,5A
110010111003042,0111,3042,5,5C
110010062021088,0062,1088,2,2A
110010073011011,0073,1011,8,8D
110010056002011,0056,2011,2,2E
110010073041009,0073,1009,8,8E
110010062021192,0062,1192,6,6D
110010009022037,0009,2037,3,3D
110010009022014,0009,2014,3,3D
110010005011004,0005,1004,3,3C
110010006002005,0006,2005,3,3C
110010062021247,0062,1247,6,6D
110010016004013,0016,4013,4,4A
110010039002009,0039,2009,1,1C
110010039002007,0039,2007,3,3C
110010041003010,0041,3010,2,2E
110010023021009,0023,1009,5,5A
110010103001005,0103,1005,4,4A
110010104002027,0104,2027,8,8C
110010111003036,0111,3036,5,5C
110010111001038,0111,1038,5,5C
110010015004000,0015,4000,3,3G
110010102002041,0102,2041,6,6D
110010111003045,0111,3045,5,5C
110010062021193,0062,1193,6,6D
110010026002002,0026,2002,3,3F
110010041002000,0041,2000,2,2D
110010040013001,0040,3001,1,1C
110010062021085,0062,1085,2,2A
110010068041018,0068,1018,6,6B
110010111003047,0111,3047,5,5C
110010090001001,0090,1001,5,5C
110010003003008,0003,3008,2,2E
110010111003049,0111,3049,5,5C
110010073041012,0073,1012,8,8E
110010008021018,0008,1018,3,3D
110010109002003,0109,2003,8,8D
110010041003026,0041,3026,2,2E
110010055002008,0055,2008,2,2E
110010027023017,0027,3017,1,1C
110010020012006,0020,2006,4,4A
110010026002003,0026,2003,4,4A
110010062021084,0062,1084,2,2A
110010073041011,0073,1011,8,8E
110010001004028,0001,4028,2,2A
110010068041016,0068,1016,7,7F
110010111003053,0111,3053,5,5D
110010001004047,0001,4047,2,2E
110010097001001,0097,1001,8,8E
110010002024033,0002,4033,2,2E
110010001004027,0001,4027,2,2E
110010111003048,0111,3048,5,5C
110010073041008,0073,1008,8,8E
110010078031011,0078,1011,7,7D
110010001004019,0001,4019,2,2E
110010008021005,0008,1005,3,3D
110010008014012,0008,4012,3,3D
110010098101004,0098,1004,8,8D
110010109002023,0109,2023,8,8D
110010002024009,0002,4009,2,2E
110010074011005,0074,1005,8,8A
110010002024024,0002,4024,2,2E
110010078041007,0078,1007,7,7C
110010027023018,0027,3018,1,1D
110010062021080,0062,1080,2,2A
110010009012004,0009,2004,3,3D
110010062021112,0062,1112,2,2C
110010001004026,0001,4026,2,2E
110010102002033,0102,2033,6,6D
110010055002007,0055,2007,2,2A
110010040013010,0040,3010,3,3C
110010041003025,0041,3025,2,2D
110010023021010,0023,1010,5,5A
110010026001009,0026,1009,4,4A
110010098101007,0098,1007,8,8D
110010001004035,0001,4035,2,2A
110010002024018,0002,4018,3,3D
110010062021092,0062,1092,2,2A
110010110002014,0110,2014,6,6D
110010096011000,0096,1000,7,7D
110010013011013,0013,1013,3,3F
110010111003044,0111,3044,5,5C
110010062021248,0062,1248,6,6D
110010026001014,0026,1014,3,3F
110010055002009,0055,2009,2,2E
110010008021017,0008,1017,2,2E
110010109002024,0109,2024,8,8D
110010109002039,0109,2039,8,8D
110010062021246,0062,1246,6,6D
110010096011023,0096,1023,7,7D
110010022021001,0022,1001,4,4D
110010062021173,0062,1173,2,2A
110010062021218,0062,1218,2,2A
110010034002001,0034,2001,1,1B
110010005022000,0005,2000,3,3C
110010012001015,0012,1015,3,3E
110010110002005,0110,2005,6,6D
110010019013000,0019,3000,4,4B
110010013012008,0013,2008,3,3F
110010094003006,0094,3006,5,5C
110010084022010,0084,2010,6,6A
110010037002000,0037,2000,1,1A
110010072002047,0072,2047,6,6D
110010078092001,0078,2001,7,7C
110010056001012,0056,1012,2,2A
110010076051005,0076,1005,8,8A
110010074092003,0074,2003,8,8B
110010011001019,0011,1019,3,3G
110010095081011,0095,1011,5,5A
110010032004008,0032,4008,1,1B
110010080022008,0080,2008,6,6A
110010002022002,0002,2002,2,2E
110010088024002,0088,4002,5,5D
110010021021016,0021,1016,4,4B
110010004002000,0004,2000,3,3C
110010093011013,0093,1013,5,5B
110010033013000,0033,3000,5,5E
110010042021002,0042,1002,2,2B
110010096021016,0096,1016,7,7D
110010072002044,0072,2044,6,6D
110010019014009,0019,4009,4,4B
110010019022000,0019,2000,4,4B
110010077092005,0077,2005,7,7B
110010099011002,0099,1002,7,7B
110010034002019,0034,2019,1,1B
110010077071011,0077,1011,7,7E
110010010011004,0010,1004,3,3E
110010058002005,0058,2005,2,2C
110010049022004,0049,2004,2,2F
110010010012025,0010,2025,3,3E
110010091022014,0091,2014,5,5C
110010078031013,0078,1013,7,7F
110010004002028,0004,2028,3,3B
110010016004009,0016,4009,4,4A
110010096011010,0096,1010,7,7D
110010103003007,0103,3007,4,4B
110010025022004,0025,2004,4,4C
110010003001005,0003,1005,2,2E
110010047012008,0047,2008,6,6E
110010008021007,0008,1007,3,3D
110010017021001,0017,1001,4,4B
110010011001002,0011,1002,3,3G
110010093012026,0093,2026,5,5B
110010023021019,0023,1019,5,5A
110010068021003,0068,1003,6,6B
110010012001006,0012,1006,3,3E
110010066001002,0066,1002,6,6B
110010071001006,0071,1006,6,6B
110010078083010,0078,3010,7,7C
110010027012004,0027,2004,1,1D
110010025023005,0025,3005,4,4C
110010078083014,0078,3014,7,7C
110010075031004,0075,1004,8,8A
110010104002018,0104,2018,8,8C
110010099012018,0099,2018,7,7B
110010074011006,0074,1006,8,8A
110010104002020,0104,2020,8,8C
110010095091005,0095,1005,5,5A
110010076043008,0076,3008,7,7B
110010078031002,0078,1002,7,7D
110010096022008,0096,2008,7,7D
110010015001008,0015,1008,3,3G
110010001003003,0001,3003,2,2E
110010093012023,0093,2023,5,5B
110010011004027,0011,4027,3,3E
110010083011002,0083,1002,6,6C
110010072001004,0072,1004,6,6D
110010109002021,0109,2021,8,8D
110010010014026,0010,4026,3,3E
110010047021017,0047,1017,6,6E
110010078081001,0078,1001,7,7C
110010073011056,0073,1056,8,8D
110010030002001,0030,2001,1,1A
110010073011013,0073,1013,8,8C
110010075032003,0075,2003,8,8A
110010077034001,0077,4001,7,7F
110010095031007,0095,1007,5,5A
110010074072003,0074,2003,8,8A
110010067003010,0067,3010,6,6B
110010092042002,0092,2002,5,5E
110010064002011,0064,2011,6,6D
110010056001008,0056,1008,2,2A
110010091021001,0091,1001,5,5C
110010014021014,0014,1014,3,3G
110010008014014,0008,4014,3,3D
110010070001012,0070,1012,6,6B
110010008014001,0008,4001,3,3D
110010071001023,0071,1023,6,6B
110010071001008,0071,1008,6,6B
110010001004038,0001,4038,2,2E
110010078042002,0078,2002,7,7C
110010106003006,0106,3006,6,6C
110010093012000,0093,2000,5,5B
110010111003002,0111,3002,5,5C
110010016002000,0016,2000,4,4A
110010052014000,0052,4000,2,2F
110010018042016,0018,2016,4,4A
110010095032010,0095,2010,5,5B
110010076011001,0076,1001,8,8A
110010076041005,0076,1005,7,7B
110010055004002,0055,4002,2,2B
110010058001016,0058,1016,2,2C
110010088031010,0088,1010,5,5D
110010064002027,0064,2027,6,6D
110010009011015,0009,1015,3,3D
110010014012002,0014,2002,3,3G
110010014011012,0014,1012,3,3G
110010096041010,0096,1010,7,7D
110010059001030,0059,1030,2,2C
110010111001037,0111,1037,5,5C
110010091021000,0091,1000,5,5C
110010055002001,0055,2001,2,2B
110010067002000,0067,2000,6,6B
110010074011030,0074,1030,8,8C
110010058001006,0058,1006,2,2C
110010072002059,0072,2059,6,6D
110010008021016,0008,1016,3,3D
110010015004013,0015,4013,3,3G
110010075022004,0075,2004,8,8B
110010027023007,0027,3007,1,1D
110010003001009,0003,1009,2,2E
110010093012022,0093,2022,5,5B
110010014022005,0014,2005,3,3G
110010089031007,0089,1007,5,5D
110010040011004,0040,1004,1,1C
110010009012010,0009,2010,3,3D
110010094002001,0094,2001,5,5B
110010080021012,0080,1012,6,6A
110010004001001,0004,1001,3,3C
110010098072010,0098,2010,8,8D
110010107002008,0107,2008,2,2A
110010095091006,0095,1006,5,5A
110010044002002,0044,2002,1,1B
110010019012011,0019,2011,4,4B
110010087021008,0087,1008,5,5E
110010010023007,0010,3007,3,3D
110010095013001,0095,3001,5,5A
110010052011001,0052,1001,2,2F
110010106001002,0106,1002,6,6C
110010072002063,0072,2063,6,6D
110010078083012,0078,3012,7,7C
110010002024022,0002,4022,2,2E
110010047012002,0047,2002,6,6E
110010073011127,0073,1127,8,8C
110010005011001,0005,1001,3,3C
110010084101008,0084,1008,6,6A
110010095053021,0095,3021,4,4B
110010088022001,0088,2001,5,5D
110010101001009,0101,1009,2,2F
110010062021162,0062,1162,2,2A
110010024002005,0024,2005,4,4C
110010008012002,0008,2002,3,3D
110010050012001,0050,2001,2,2F
110010062021069,0062,1069,2,2A
110010071001024,0071,1024,6,6B
110010096011024,0096,1024,7,7D
110010072002037,0072,2037,6,6D
110010096022001,0096,2001,7,7D
110010098011004,0098,1004,8,8E
110010014011016,0014,1016,3,3G
110010027021005,0027,1005,1,1D
110010093012005,0093,2005,5,5B
110010088021003,0088,1003,5,5D
110010094002016,0094,2016,5,5C
110010089031005,0089,1005,5,5D
110010080022012,0080,2012,6,6A
110010019021014,0019,1014,4,4B
110010078061016,0078,1016,7,7C
110010020023009,0020,3009,4,4C
110010070001006,0070,1006,6,6B
110010046002001,0046,2001,5,5E
110010039002001,0039,2001,1,1C
110010020021006,0020,1006,4,4C
110010064002007,0064,2007,6,6D
110010070002017,0070,2017,6,6B
110010107001024,0107,1024,2,2B
110010017022010,0017,2010,4,4B
110010077072024,0077,2024,7,7E
110010019022003,0019,2003,4,4B
110010062021118,0062,1118,6,6C
110010104001009,0104,1009,8,8C
110010010012013,0010,2013,3,3E
110010078081004,0078,1004,7,7C
110010102002008,0102,2008,6,6D
110010078091001,0078,1001,7,7C
110010074031003,0074,1003,8,8E
110010026002022,0026,2022,4,4A
110010041003016,0041,3016,2,2D
110010023012008,0023,2008,4,4C
110010098041004,0098,1004,8,8C
110010015005004,0015,5004,3,3G
110010109002014,0109,2014,8,8D
110010098022003,0098,2003,8,8E
110010038002002,0038,2002,1,1C
110010073011032,0073,1032,8,8C
110010074042010,0074,2010,8,8E
110010023011015,0023,1015,4,4C
110010094003020,0094,3020,5,5C
110010099012004,0099,2004,7,7B
110010072001012,0072,1012,6,6D
110010050024003,0050,4003,2,2F
110010050024004,0050,4004,2,2F
110010062021128,0062,1128,6,6B
110010107002012,0107,2012,2,2B
110010101001013,0101,1013,2,2F
110010062021185,0062,1185,2,2A
110010095081000,0095,1000,5,5A
110010029002006,0029,2006,1,1A
110010093011010,0093,1010,5,5B
110010062021206,0062,1206,6,6D
110010077033001,0077,3001,7,7F
110010042021001,0042,1001,2,2B
110010078033010,0078,3010,7,7D
110010062021043,0062,1043,2,2A
110010016001017,0016,1017,4,4A
110010009012023,0009,2023,3,3D
110010088031013,0088,1013,5,5D
110010014021000,0014,1000,3,3G
110010035002008,0035,2008,1,1B
110010042012004,0042,2004,2,2B
110010077031006,0077,1006,7,7F
110010055001012,0055,1012,2,2B
110010005011010,0005,1010,3,3C
110010099021011,0099,1011,7,7E
110010069001012,0069,1012,6,6B
110010098111000,0098,1000,8,8D
110010076041007,0076,1007,7,7B
110010102002009,0102,2009,6,6D
110010088042010,0088,2010,5,5D
110010015005010,0015,5010,3,3G
110010076033011,0076,3011,7,7B
110010095012000,0095,2000,5,5A
110010062021252,0062,1252,2,2A
110010081003001,0081,3001,6,6A
110010017022002,0017,2002,4,4B
110010082002011,0082,2011,6,6C
110010099011008,0099,1008,7,7B
110010092032000,0092,2000,5,5E
110010076053002,0076,3002,8,8A
110010050012005,0050,2005,2,2F
110010074072008,0074,2008,8,8A
110010095091009,0095,1009,5,5A
110010075031017,0075,1017,8,8A
110010099041008,0099,1008,7,7E
110010075021005,0075,1005,8,8B
110010041003017,0041,3017,2,2D
110010009012025,0009,2025,3,3D
110010088031012,0088,1012,5,5D
110010077081003,0077,1003,7,7F
110010044002000,0044,2000,1,1B
110010083012003,0083,2003,6,6C
110010108002015,0108,2015,2,2A
110010099021008,0099,1008,7,7E
110010002023011,0002,3011,2,2E
110010044001006,0044,1006,1,1B
110010068041021,0068,1021,7,7D
110010014012014,0014,2014,3,3G
110010002011002,0002,1002,3,3D
110010059001033,0059,1033,6,6C
110010020012004,0020,2004,4,4A
110010105002020,0105,2020,6,6D
110010104001019,0104,1019,8,8C
110010096032001,0096,2001,7,7F
110010074091000,0074,1000,8,8B
110010077091004,0077,1004,7,7B
110010029002005,0029,2005,1,1A
110010088021005,0088,1005,5,5D
110010082002000,0082,2000,6,6C
110010095051006,0095,1006,4,4B
110010076011004,0076,1004,8,8A
110010104002016,0104,2016,8,8C
110010055001009,0055,1009,2,2B
110010027022005,0027,2005,1,1D
110010068022012,0068,2012,6,6B
110010062021194,0062,1194,6,6D
110010020011007,0020,1007,4,4A
110010095053001,0095,3001,4,4B
110010007021003,0007,1003,3,3B
110010027012001,0027,2001,1,1D
110010004001010,0004,1010,3,3C
110010024002000,0024,2000,4,4C
110010024001005,0024,1005,4,4C
110010071001014,0071,1014,6,6B
110010076043010,0076,3010,7,7B
110010094002015,0094,2015,5,5C
110010105002001,0105,2001,6,6D
110010041003008,0041,3008,2,2D
110010074042005,0074,2005,8,8E
110010108002014,0108,2014,2,2A
110010058001029,0058,1029,2,2C
110010014023006,0014,3006,3,3G
110010110002002,0110,2002,6,6D
110010106002003,0106,2003,6,6C
110010104002006,0104,2006,8,8C
110010068041011,0068,1011,7,7F
110010089031014,0089,1014,5,5D
110010080012007,0080,2007,6,6A
110010016001022,0016,1022,4,4A
110010013023002,0013,3002,3,3F
110010105001000,0105,1000,6,6D
110010062021230,0062,1230,2,2A
110010013011007,0013,1007,3,3F
110010010023003,0010,3003,3,3E
110010094003021,0094,3021,5,5C
110010073011020,0073,1020,8,8C
110010095041012,0095,1012,5,5B
110010072001026,0072,1026,6,6D
110010008013003,0008,3003,3,3D
110010020012008,0020,2008,4,4A
110010099012007,0099,2007,7,7F
110010078043021,0078,3021,7,7C
110010084101016,0084,1016,6,6A
110010072002021,0072,2021,6,6D
110010011002015,0011,2015,3,3E
110010092041007,0092,1007,5,5E
110010049012001,0049,2001,6,6E
110010078031010,0078,1010,7,7D
110010111003009,0111,3009,5,5C
110010062021113,0062,1113,2,2C
110010075021003,0075,1003,8,8B
110010011003009,0011,3009,3,3F
110010076015001,0076,5001,8,8A
110010076012014,0076,2014,8,8A
110010076042005,0076,2005,7,7B
110010020021013,0020,1013,4,4C
110010066001004,0066,1004,6,6B
110010094001007,0094,1007,5,5B
110010018042005,0018,2005,4,4A
110010073011018,0073,1018,8,8C
110010087011006,0087,1006,5,5E
110010021011006,0021,1006,4,4B
110010094004004,0094,4004,5,5B
110010010014010,0010,4010,3,3E
110010024004009,0024,4009,4,4C
110010025012003,0025,2003,4,4C
110010041002009,0041,2009,2,2D
110010018031006,0018,1006,4,4A
110010028022003,0028,2003,1,1A
110010026002000,0026,2000,4,4A
110010096011047,0096,1047,7,7D
110010033021005,0033,1005,5,5E
110010022021007,0022,1007,4,4D
110010102002025,0102,2025,6,6D
110010016002008,0016,2008,4,4A
110010078043009,0078,3009,7,7C
110010106002018,0106,2018,6,6C
110010001001003,0001,1003,2,2E
110010073041003,0073,1003,8,8E
110010103003010,0103,3010,4,4B
110010099032005,0099,2005,7,7E
110010078083007,0078,3007,7,7C
110010031001006,0031,1006,1,1A
110010007014004,0007,4004,3,3B
110010010016010,0010,6010,3,3E
110010062021147,0062,1147,2,2C
110010010011002,0010,1002,3,3E
110010078062003,0078,2003,7,7C
110010078092002,0078,2002,7,7C
110010088022007,0088,2007,5,5D
110010010014023,0010,4023,3,3E
110010056002022,0056,2022,2,2A
110010094001018,0094,1018,5,5B
110010103001000,0103,1000,4,4A
110010078043010,0078,3010,7,7C
110010078041017,0078,1017,7,7C
110010048021005,0048,1005,6,6E
110010095033008,0095,3008,5,5B
110010058002003,0058,2003,2,2C
110010062021011,0062,1011,6,6C
110010004002025,0004,2025,3,3C
110010088023002,0088,3002,5,5D
110010073011066,0073,1066,8,8D
110010032002000,0032,2000,1,1A
110010093013004,0093,3004,5,5B
110010062021159,0062,1159,2,2A
110010074071009,0074,1009,8,8B
110010095071001,0095,1001,4,4B
110010096021025,0096,1025,7,7D
110010102002044,0102,2044,6,6D
110010011004000,0011,4000,3,3E
110010019014012,0019,4012,4,4B
110010013012000,0013,2000,3,3F
110010111002023,0111,2023,5,5C
110010010015009,0010,5009,3,3E
110010098011003,0098,1003,8,8E
110010021021006,0021,1006,4,4B
110010066001019,0066,1019,6,6B
110010074031002,0074,1002,8,8E
110010099012001,0099,2001,7,7F
110010008014006,0008,4006,3,3D
110010109002020,0109,2020,8,8D
110010096042006,0096,2006,7,7D
110010107001026,0107,1026,2,2B
110010056004005,0056,4005,2,2A
110010072001005,0072,1005,6,6D
110010093013013,0093,3013,5,5B
110010062021238,0062,1238,2,2A
110010022022004,0022,2004,4,4C
110010056003002,0056,3002,2,2A
110010082001004,0082,1004,6,6C
110010077091022,0077,1022,7,7B
110010107001022,0107,1022,2,2B
110010056002019,0056,2019,2,2A
110010037003001,0037,3001,1,1B
110010049021003,0049,1003,2,2F
110010014011004,0014,1004,3,3G
110010088021000,0088,1000,5,5D
110010073011092,0073,1092,8,8D
110010034002003,0034,2003,1,1B
110010109002019,0109,2019,8,8D
110010106002053,0106,2053,6,6C
110010004002019,0004,2019,3,3C
110010079031000,0079,1000,7,7D
110010101001022,0101,1022,2,2C
110010081002007,0081,2007,6,6A
110010079031009,0079,1009,7,7D
110010095092012,0095,2012,5,5A
110010008012009,0008,2009,3,3D
110010108003002,0108,3002,2,2A
110010009013023,0009,3023,3,3D
110010076032010,0076,2010,7,7B
110010010012023,0010,2023,3,3E
110010037002003,0037,2003,1,1B
110010026001000,0026,1000,4,4A
110010012004025,0012,4025,3,3F
110010062021197,0062,1197,6,6D
110010019013004,0019,3004,4,4B
110010008014011,0008,4011,3,3D
110010003001007,0003,1007,2,2E
110010010022000,0010,2000,3,3C
110010010013012,0010,3012,3,3E
110010111001031,0111,1031,5,5C
110010010013013,0010,3013,3,3E
110010099072002,0099,2002,7,7F
110010092041005,0092,1005,5,5E
110010095081006,0095,1006,5,5A
110010011002000,0011,2000,3,3E
110010068012001,0068,2001,6,6B
110010019022006,0019,2006,4,4B
110010047021012,0047,1012,6,6E
110010044002018,0044,2018,1,1B
110010111003041,0111,3041,5,5C
110010072002007,0072,2007,6,6B
110010068011003,0068,1003,6,6B
110010001001007,0001,1007,2,2E
110010081002004,0081,2004,6,6A
110010027023015,0027,3015,1,1C
110010094002013,0094,2013,5,5C
110010094003008,0094,3008,5,5C
110010111002019,0111,2019,5,5C
110010106002044,0106,2044,6,6C
110010094004012,0094,4012,5,5B
110010074011012,0074,1012,8,8A
110010029002002,0029,2002,1,1A
110010099012015,0099,2015,7,7B
110010001004022,0001,4022,2,2E
110010023021008,0023,1008,5,5A
110010098032000,0098,2000,8,8C
110010110004002,0110,4002,6,6D
110010107001002,0107,1002,2,2B
110010081001004,0081,1004,6,6A
110010070002016,0070,2016,6,6B
110010095042007,0095,2007,5,5A
110010026002005,0026,2005,4,4A
110010080021011,0080,1011,6,6A
110010022021002,0022,1002,4,4D
110010025011006,0025,1006,4,4C
110010074071001,0074,1001,8,8B
110010088021001,0088,1001,5,5D
110010008013006,0008,3006,3,3D
110010017022022,0017,2022,4,4B
110010004001017,0004,1017,3,3C
110010072002046,0072,2046,6,6D
110010077071010,0077,1010,7,7E
110010078061006,0078,1006,7,7C
110010020021004,0020,1004,4,4C
110010073011102,0073,1102,8,8D
110010003002003,0003,2003,3,3B
110010011001020,0011,1020,3,3G
110010093021010,0093,1010,5,5B
110010048022003,0048,2003,6,6E
110010079011004,0079,1004,6,6A
110010048011017,0048,1017,6,6E
110010041002008,0041,2008,2,2D
110010095081002,0095,1002,5,5A
110010008022013,0008,2013,3,3D
110010006004003,0006,4003,3,3C
110010095091000,0095,1000,5,5A
110010099051010,0099,1010,7,7E
110010010016011,0010,6011,3,3E
110010105001010,0105,1010,6,6D
110010109002027,0109,2027,8,8D
110010101001025,0101,1025,2,2C
110010016004003,0016,4003,4,4A
110010022021005,0022,1005,4,4D
110010099042008,0099,2008,7,7E
110010002024004,0002,4004,2,2E
110010104002036,0104,2036,8,8C
110010095032015,0095,2015,5,5B
110010027023002,0027,3002,1,1D
110010095093000,0095,3000,5,5A
110010019011013,0019,1013,4,4B
110010088031024,0088,1024,5,5D
110010088031022,0088,1022,5,5D
110010092032004,0092,2004,5,5E
110010042022001,0042,2001,2,2B
110010021011001,0021,1001,4,4B
110010056002006,0056,2006,2,2A
110010105002006,0105,2006,6,6D
110010021011009,0021,1009,4,4B
110010010016014,0010,6014,3,3E
110010047021019,0047,1019,6,6E
110010105002008,0105,2008,6,6D
110010062021143,0062,1143,6,6B
110010072001019,0072,1019,6,6D
110010012004018,0012,4018,3,3E
110010027023008,0027,3008,1,1D
110010101002007,0101,2007,2,2B
110010073011042,0073,1042,8,8D
110010009022034,0009,2034,3,3D
110010078041016,0078,1016,7,7C
110010023012015,0023,2015,4,4C
110010073043003,0073,3003,8,8C
110010069002000,0069,2000,6,6B
110010011001011,0011,1011,3,3G
110010026001017,0026,1017,4,4A
110010068041003,0068,1003,7,7D
110010006001005,0006,1005,3,3C
110010111003000,0111,3000,5,5C
110010078062012,0078,2012,7,7D
110010068041001,0068,1001,7,7D
110010022012012,0022,2012,4,4D
110010034001004,0034,1004,1,1B
110010046001005,0046,1005,5,5E
110010078061013,0078,1013,7,7C
110010023012002,0023,2002,4,4C
110010098071003,0098,1003,8,8C
110010011001009,0011,1009,3,3G
110010041001003,0041,1003,2,2D
110010016002011,0016,2011,4,4A
110010111003018,0111,3018,5,5C
110010015004014,0015,4014,3,3G
110010021013002,0021,3002,4,4D
110010111003019,0111,3019,5,5C
110010007012000,0007,2000,3,3B
110010008012003,0008,2003,3,3D
110010072001013,0072,1013,6,6D
110010083011005,0083,1005,6,6C
110010033013004,0033,3004,5,5E
110010053012001,0053,2001,2,2B
110010016003000,0016,3000,4,4A
110010020023005,0020,3005,4,4C
110010009012014,0009,2014,3,3D
110010093012019,0093,2019,5,5B
110010101001008,0101,1008,2,2F
110010023011007,0023,1007,4,4C
110010099012000,0099,2000,7,7F
110010059001040,0059,1040,2,2C
110010062021129,0062,1129,6,6B
110010015001028,0015,1028,3,3G
110010009013017,0009,3017,3,3D
110010007014002,0007,4002,3,3C
110010080022002,0080,2002,6,6A
110010095012002,0095,2002,5,5A
110010099031003,0099,1003,7,7E
110010009012003,0009,2003,3,3D
110010021026005,0021,6005,4,4D
110010076042023,0076,2023,7,7B
110010072002013,0072,2013,6,6B
