X,Y,OBJECTID,BBL_LICENSE_FACT_ID,LICENSESTATUS,LICENSECATEGORY,CUST_NUM,TRADE_NAME,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_ISSUE_DATE,AGENT_PHONE,LASTMODIFIEDDATE,CITY,STATE,SITEADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
-76.943133576659818,38.883225745303911,18168769,336586,ACTIVE,Apartment,66006010,HOME REALTY,2006-09-01T00:00:00.000Z,2008-08-31T00:00:00.000Z,2014-04-30T00:00:00.000Z,,2017-06-20T15:10:24.000Z,WASHINGTON,DC,445 BURBANK STREET SE,38.8832182927,-76.9431313116,404934.17,135043.9,20019,21029,11220,11220,7,7A,7A02,SIXTH,603,33,NONE,NONE,NONE,NONE
-76.965127582872753,38.85107921512072,18169618,334580,ACTIVE,Apartment,500114000590,KES PROPERTIES LLC,2014-08-01T00:00:00.000Z,2018-07-31T00:00:00.000Z,2014-08-06T00:00:00.000Z,2024652627,2017-06-20T15:10:23.000Z,WASHINGTON,DC,3134 BUENA VISTA TERRACE SE,38.8510717698,-76.965125313,403027.24,131474.44,20020,39615,26344,26344,8,8B,8B04,SEVENTH,702,36,NONE,NONE,NONE,NONE
-77.002458518196875,38.901084157758994,18169881,337196,ACTIVE,Apartment,68003389,"BROADWAY CAPITOL, LLC",2010-05-01T00:00:00.000Z,2012-04-30T00:00:00.000Z,2014-04-15T00:00:00.000Z,2024083121,2017-06-20T15:10:24.000Z,WASHINGTON,DC,225 I STREET NE,38.9010767037,-77.0024562338,399786.94,137024.79,20002,301228,405796,349145,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NONE
-77.003258356648558,38.901086660515155,18169882,337197,ACTIVE,Apartment,68003390,"BROADWAY CAPITOL, LLC",2010-05-01T00:00:00.000Z,2012-04-30T00:00:00.000Z,2014-04-15T00:00:00.000Z,2024083121,2017-06-20T15:10:24.000Z,WASHINGTON,DC,201 I STREET NE,38.9010792065,-77.003256072,399717.56,137025.07,20002,301222,362508,347722,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NONE
-77.009966193826045,38.91055225586279,18170250,337658,ACTIVE,One Family Rental,500512000915,,2016-02-01T00:00:00.000Z,2018-01-31T00:00:00.000Z,2014-07-25T00:00:00.000Z,,2017-06-20T15:10:25.000Z,WASHINGTON,DC,23 BATES STREET NW,38.9105448002,-77.0099639066,399135.82,138075.87,20001,236822,80145,80145,5,5C,5C01,FIFTH,501,21,NONE,NONE,NORTH CAPITOL ST,NONE
-77.005885505466509,38.840399899753336,18170457,336916,ACTIVE,Apartment,68006407, WALTER G THOMPSON SR,2008-10-01T00:00:00.000Z,2010-09-30T00:00:00.000Z,2014-03-04T00:00:00.000Z,2026690793,2017-06-20T15:10:24.000Z,WASHINGTON,DC,3517 BROTHERS PLACE SE,38.8403924581,-77.0058832238,399489.24,130288.4,20032,33630,17445,17445,8,8C,8C04,SEVENTH,707,39,NONE,NONE,NONE,NONE
-76.9633818880626,38.925241694643653,18171074,337714,ACTIVE,One Family Rental,500511009103,SAN JUAN BAILEY-WILLIAMS,2016-10-01T00:00:00.000Z,2018-09-30T00:00:00.000Z,2014-09-06T00:00:00.000Z,,2017-06-20T15:10:25.000Z,WASHINGTON,DC,3134 APPLE ROAD NE,38.9252342343,-76.9633796142,403175.47,139707.11,20018,287610,126216,126216,5,5A,5A12,FIFTH,503,24,NONE,NONE,NONE,NONE
-76.9873875206207,38.834986636520064,18173102,339198,ACTIVE,One Family Rental,500513000685,FOCUSWORKS LLC,2012-12-01T00:00:00.000Z,2014-11-30T00:00:00.000Z,2014-11-28T00:00:00.000Z,2025295399,2017-06-20T15:10:25.000Z,WASHINGTON,DC,1142 BARNABY TERRACE SE,38.8349791953,-76.9873852449,401095.25,129687.55,20032,72957,46625,46625,8,8E,8E04,SEVENTH,706,39,NONE,NONE,NONE,NONE
-76.939663587060309,38.897686774255426,18173288,338547,ACTIVE,One Family Rental,500512002820,,2016-07-01T00:00:00.000Z,2018-06-30T00:00:00.000Z,2014-04-23T00:00:00.000Z,2026410827,2017-06-20T15:10:25.000Z,WASHINGTON,DC,4274 FOOTE STREET NE,38.8976793186,-76.9396613222,405234.18,136649.38,20019,24218,13770,13770,7,7D,7D06,SIXTH,602,30,NONE,NONE,NONE,NONE
-77.031511135603353,38.917979769341791,18173751,342031,ACTIVE,One Family Rental,500515000327,V STREET PROPERTY,2009-11-01T00:00:00.000Z,2011-10-31T00:00:00.000Z,2014-11-03T00:00:00.000Z,,2017-06-20T15:10:27.000Z,WASHINGTON,DC,1390 V STREET NW,38.917972313,-77.0315088413,397267.49,138900.81,20009,297785,133236,133236,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
-77.02457037914013,38.905391647089218,18175179,340788,ACTIVE,One Family Rental,500514900921,"Attache Corporate Housing; Brittany Dean",2015-12-01T00:00:00.000Z,2017-11-30T00:00:00.000Z,2014-11-24T00:00:00.000Z,202-290-9852,2017-06-20T15:10:26.000Z,WASHINGTON,DC,910 M STREET NW,38.905384193,-77.0245680877,397869.03,137503.24,20001,300398,164445,164445,2,2C,2C03,THIRD,307,8,NONE,NONE,NONE,NONE
-77.036917355663917,38.917491826485353,18193884,350808,ACTIVE,One Family Rental,65005950,AMY PARO,2009-11-01T00:00:00.000Z,2011-10-31T00:00:00.000Z,2014-12-19T00:00:00.000Z,7032473350,2017-06-20T15:10:31.000Z,WASHINGTON,DC,2008 16TH STREET NW,38.9174843704,-77.0369150597,396798.63,138846.82,20009,279511,121624,121624,1,1C,1C08,THIRD,301,6,NONE,NONE,NONE,NONE
-76.986598106574348,38.880353522358959,18193545,352157,ACTIVE,One Family Rental,69003683,,2009-05-01T00:00:00.000Z,2011-04-30T00:00:00.000Z,2014-11-21T00:00:00.000Z,2025473511,2017-06-20T15:10:32.000Z,WASHINGTON,DC,1391 PENNSYLVANIA AVENUE SE,38.8803460719,-76.9865958283,401163.05,134723.61,20003,302637,362299,347674,6,6B,6B07,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
-77.023736096598256,38.93402722291588,18196979,357226,ACTIVE,Barber Shop,41000843,JOHN D MINOR JR,2004-02-20T00:00:00.000Z,2006-02-28T00:00:00.000Z,2014-06-04T00:00:00.000Z,9999999999,2017-06-20T15:10:34.000Z,WASHINGTON,DC,3545 GEORGIA AVENUE NW,38.934019763,-77.0237338037,397942.22,140682.01,20010,284751,123560,123560,1,1A,1A08,FOURTH,409,2,NONE,NONE,GEORGIA AVE NW,NONE
-76.993968377950367,38.839195642578609,18200034,359216,ACTIVE,Grocery Store,70109821,RAM SERVICES INC/RAM GROCERY STORE,2010-12-01T00:00:00.000Z,2012-11-30T00:00:00.000Z,2014-08-19T00:00:00.000Z,2025488000,2017-06-20T15:10:36.000Z,WASHINGTON,DC,3509 WHEELER ROAD SE,38.8391882007,-76.9939661,400523.85,130154.72,20032,147495,56764,56764,8,8E,8E06,SEVENTH,705,39,NONE,NONE,NONE,NONE
-76.974486291198474,38.871804606512086,18206337,359736,ACTIVE,Restaurant,70110035,COMPASS GROUP USA INC,2016-12-01T00:00:00.000Z,2018-11-30T00:00:00.000Z,2014-10-24T00:00:00.000Z,8009257562,2017-06-20T15:10:36.000Z,WASHINGTON,DC,2200 MINNESOTA AVENUE SE,38.8717971573,-76.9744840172,402214.23,133774.84,20020,294539,131274,131274,8,8A,8A01,SIXTH,607,34,NONE,NONE,NONE,NONE
-77.0319237017804,38.930821739088231,18206355,359258,ACTIVE,Grocery Store,930814000020,GIANT OF MARYLAND LLC,2013-04-01T00:00:00.000Z,2023-03-31T00:00:00.000Z,2014-03-28T00:00:00.000Z,2028574405,2017-06-20T15:10:36.000Z,WASHINGTON,DC,1345 PARK ROAD NW,38.9308142802,-77.0319214066,397232.21,140326.39,20010,297595,133693,133693,1,1A,1A05,THIRD,302,2,NONE,NONE,NONE,NONE
-77.033652397374013,38.903427454583834,18206788,363002,CANCELLED,Charitable Solicitation,400212000378,BERMAN & COMPANY,2012-08-01T00:00:00.000Z,2014-07-31T00:00:00.000Z,2014-06-23T00:00:00.000Z,2027859500,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1090 VERMONT AVENUE NW,38.9034200012,-77.0336501033,397081.2,137285.45,20005,240259,83557,83557,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
-76.997499943272857,38.923907596754255,18206791,363344,CANCELLED,Charitable Solicitation,67006205,THE ACADEMY OF HOPE,2013-11-01T00:00:00.000Z,2015-10-31T00:00:00.000Z,2014-10-09T00:00:00.000Z,2022696623,2017-06-20T15:10:38.000Z,WASHINGTON,DC,601 EDGEWOOD STREET NE,38.9239001379,-76.997497659,400216.99,139558.38,20017,289571,128466,128466,5,5C,5C08,FIFTH,502,21,NONE,NONE,NONE,NONE
-76.994510413017196,38.882912454671128,18206794,363349,CANCELLED,Charitable Solicitation,68000783,FRIENDS OF KANG YUN FOUNDATION,2012-02-01T00:00:00.000Z,2014-01-31T00:00:00.000Z,2014-01-16T00:00:00.000Z,2022902706,2017-06-20T15:10:38.000Z,WASHINGTON,DC,806 E STREET SE,38.882905004,-76.9945081322,400476.5,135007.6,20003,79819,52220,52220,6,6B,6B04,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
-77.007307749282532,38.912847957942184,18206798,363355,CANCELLED,Charitable Solicitation,68003446,NEIGHBORS OF SEATON PLACE,2012-05-01T00:00:00.000Z,2014-04-30T00:00:00.000Z,2014-03-05T00:00:00.000Z,2022345399,2017-06-20T15:10:38.000Z,WASHINGTON,DC,40 R STREET NE,38.9128405017,-77.0073054627,399366.41,138330.69,20002,28518,16774,16774,5,5C,5C02,FIFTH,502,21,NONE,NONE,NONE,NONE
-77.02328617914921,38.896986480914016,18206802,363732,CANCELLED,General Business Licenses,400313900175,"Sharp Shooter Spectrum Venture, LLC; Donna",2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-09-24T00:00:00.000Z,202-572-3100,2017-06-20T15:10:38.000Z,WASHINGTON,DC,800 F STREET NW,38.8969790285,-77.0232838887,397980.18,136570.17,20004,238378,81670,81670,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
-76.998381608335265,38.906920504757409,18206804,363734,CANCELLED,General Business Licenses,400313900293,"N T Joes Wholesale Inc; Hai Ngo",2012-11-01T00:00:00.000Z,2014-10-31T00:00:00.000Z,2014-09-10T00:00:00.000Z,202-544-9917,2017-06-20T15:10:38.000Z,WASHINGTON,DC,521 MORSE STREET NE,38.9069130494,-76.9983793249,400140.57,137672.67,20002,150946,59376,59376,5,5B,5B06,FIFTH,506,23,NONE,NONE,NONE,NONE
-77.013924790750579,38.96978498068647,18206827,362662,CANCELLED,Solid Waste Vehicle,302012000052,URBAN SERVICE SYSTEMS CORPORATION,2012-03-01T00:00:00.000Z,2014-02-28T00:00:00.000Z,2014-03-11T00:00:00.000Z,2025432000,2017-06-20T15:10:38.000Z,WASHINGTON,DC,212 VAN BUREN STREET NW,38.9697775132,-77.0139224987,398793.49,144651.27,20012,245457,88390,88390,4,4B,4B07,FOURTH,406,19,NONE,NONE,NONE,NONE
-77.013924790750579,38.96978498068647,18206828,362663,CANCELLED,Solid Waste Vehicle,302012000063,URBAN SERVICE SYSTEMS CORPORATION,2012-04-01T00:00:00.000Z,2014-03-31T00:00:00.000Z,2014-03-24T00:00:00.000Z,2025432000,2017-06-20T15:10:38.000Z,WASHINGTON,DC,212 VAN BUREN STREET NW,38.9697775132,-77.0139224987,398793.49,144651.27,20012,245457,88390,88390,4,4B,4B07,FOURTH,406,19,NONE,NONE,NONE,NONE
-77.030007354846148,38.931658308011421,18207855,363493,CANCELLED,General Business Licenses,400311005066,ADERA AND ASSOCIATES LLC,2013-06-01T00:00:00.000Z,2015-05-31T00:00:00.000Z,2014-02-28T00:00:00.000Z,,2017-06-20T15:10:38.000Z,WASHINGTON,DC,3406 13TH STREET NW,38.9316508488,-77.0300050602,397398.4,140419.2,20010,284661,123164,123164,1,1A,1A06,THIRD,302,2,NONE,NONE,NONE,NONE
-76.999585749427382,38.843679753607312,18208021,363712,CANCELLED,General Business Licenses,400313002017,BABA LLC,2013-08-01T00:00:00.000Z,2015-07-31T00:00:00.000Z,2014-11-07T00:00:00.000Z,2022994475,2017-06-20T15:10:38.000Z,WASHINGTON,DC,3109 MARTIN LUTHER KING JR AVENUE SE,38.8436723111,-76.9995834694,400036.16,130652.47,20032,40480,26147,26147,8,8C,8C03,SEVENTH,707,39,NONE,NONE,NONE,NONE
-76.989923354463571,38.900414788526561,18208104,363716,CANCELLED,General Business Licenses,400313002105,RASO CORPORATION,2013-09-01T00:00:00.000Z,2015-08-31T00:00:00.000Z,2014-10-08T00:00:00.000Z,2022791844,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1204 H STREET NE,38.9004073342,-76.989921074,400874.28,136950.53,20002,72194,45696,45696,6,6A,6A01,FIRST,104,25,NONE,NONE,NONE,NONE
-77.07263069182612,38.9428755557568,18208105,363717,CANCELLED,General Business Licenses,400313002106,MODULIZE LLC,2013-09-01T00:00:00.000Z,2015-08-31T00:00:00.000Z,2014-12-22T00:00:00.000Z,2027013687,2017-06-20T15:10:38.000Z,WASHINGTON,DC,4116 37TH STREET NW,38.9428680959,-77.0726283834,393703.72,141666.49,20008,222904,65629,65629,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,NONE
-77.053969818077277,38.927141218306865,18208108,363721,CANCELLED,General Business Licenses,400313900014,"Energy Markets Group Inc; Dr. Ahmad Ghamarian",2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-10-21T00:00:00.000Z,202-236-9766,2017-06-20T15:10:38.000Z,WASHINGTON,DC,2818 CONNECTICUT AVENUE NW,38.9271337609,-77.0539675163,395320.43,139918.72,20008,219969,63343,63343,3,3C,3C02,SECOND,204,15,NONE,NONE,NONE,NONE
-77.000183990606502,38.952905599037557,18208111,363727,CANCELLED,General Business Licenses,400313900092,"MEGASETH; Seth Longhurst",2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-08-08T00:00:00.000Z,801-628-3345,2017-06-20T15:10:38.000Z,WASHINGTON,DC,350 GALLOWAY STREET NE,38.9528981345,-77.0001817038,399984.25,142777.41,20011,307670,449135,385662,5,5A,5A01,FOURTH,405,19,NONE,NONE,NONE,NONE
-76.990536263360937,38.892960417186913,18208112,363728,CANCELLED,General Business Licenses,400313900093,"Clean As A Whistle Contractor ; Andrea Alexander",2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-09-30T00:00:00.000Z,202-486-7515,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1132 PARK STREET NE,38.8929529643,-76.9905339832,400821.2,136123.03,20002,73208,46903,46903,6,6A,6A03,FIRST,107,25,NONE,NONE,NONE,NONE
-77.070561167873294,38.965245442934268,18208114,363730,CANCELLED,General Business Licenses,400313900099,Michele McNamara,2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-08-27T00:00:00.000Z,202-362-5677,2017-06-20T15:10:38.000Z,WASHINGTON,DC,5604 NEVADA AVENUE NW,38.9652379785,-77.0705588587,393885.05,144149.61,20015,263199,106042,106042,3,3G,3G05,SECOND,201,10,NONE,NONE,NONE,NONE
-77.087971032907632,38.930535352605744,18208115,363731,CANCELLED,General Business Licenses,400313900151,"X-Ponential Publishing Consultants, LLC; Daniel W. Brown",2012-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,2014-08-27T00:00:00.000Z,202-686-0117,2017-06-20T15:10:38.000Z,WASHINGTON,DC,4437 CATHEDRAL AVENUE NW,38.9305278958,-77.0879687205,392372.52,140297.79,20016,265328,107852,107852,3,3D,3D01,SECOND,205,13,NONE,NONE,NONE,NONE
-77.097796329106743,38.946080646969364,18208210,362990,CANCELLED,Charitable Solicitation,400212000206,EMERGENCY USA-LIFE SUPPORT FOR CIVILIAN VICTIMS OF WAR AND POVERT,2012-04-01T00:00:00.000Z,2014-03-31T00:00:00.000Z,2014-04-10T00:00:00.000Z,2022657122,2017-06-20T15:10:38.000Z,WASHINGTON,DC,4910 MASSACHUSETTS AVENUE NW,38.9460731874,-77.0977940128,391522.45,142024.32,20016,269771,112650,112650,3,3D,3D03,SECOND,205,13,NONE,NONE,NONE,NONE
-76.992388443444227,38.893924358124153,18208213,362994,CANCELLED,Charitable Solicitation,400212000252,LEM WILLS FOUNDATION (THE),2012-06-01T00:00:00.000Z,2014-05-31T00:00:00.000Z,2014-05-14T00:00:00.000Z,2025482661,2017-06-20T15:10:38.000Z,WASHINGTON,DC,309 10TH STREET NE,38.8939169052,-76.9923861626,400660.51,136230.02,20002,40975,28922,28922,6,6A,6A05,FIRST,107,25,NONE,NONE,NONE,NONE
-77.029151356104379,38.902895640066646,18208214,362995,CANCELLED,Charitable Solicitation,400212000292,THE AMYOTROPHIC LATERAL SCLEROSIS ASSOCIATION,2012-06-01T00:00:00.000Z,2014-05-31T00:00:00.000Z,2014-04-17T00:00:00.000Z,2024078580,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1275 K STREET NW,38.9028881867,-77.0291490634,397471.6,137226.28,20005,243281,86211,86211,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
-77.028260707560179,38.9618124367463,18208806,358822,ACTIVE,Food Products,69000089,SUPER DOLLAR PLUS INC,2017-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,2014-12-05T00:00:00.000Z,2026830133,2017-06-20T15:10:36.000Z,WASHINGTON,DC,5918 GEORGIA AVENUE NW,38.9618049714,-77.0282584116,397550.88,143766.53,20011,285284,124103,124103,4,4A,4A06,FOURTH,402,17,NONE,NONE,NONE,NONE
-77.068927722606119,38.934325859824696,18206880,363736,CANCELLED,General Business Licenses,400313900366,Sam Hastings-Black,2012-11-01T00:00:00.000Z,2014-10-31T00:00:00.000Z,2014-11-05T00:00:00.000Z,202-966-3451,2017-06-20T15:10:38.000Z,WASHINGTON,DC,3312 35TH STREET NW,38.9343184016,-77.0689254158,394024.02,140717.15,20016,221658,64374,64374,3,3C,3C09,SECOND,203,15,NONE,NONE,NONE,NONE
-77.075455961340225,38.91669119151215,18206881,363737,CANCELLED,General Business Licenses,400313900387,Alicia Sanderman,2012-11-01T00:00:00.000Z,2014-10-31T00:00:00.000Z,2014-09-10T00:00:00.000Z,732-718-0462,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1957 39TH STREET NW,38.9166837371,-77.0754536536,393456.39,138760,20007,270747,113583,113583,2,2E,2E01,SECOND,206,4,NONE,NONE,NONE,NONE
-77.015668101647805,38.899649722511953,18206883,363739,CANCELLED,General Business Licenses,400313900426,"Stuller Service Centers, Inc.; Jason Patten",2012-11-01T00:00:00.000Z,2014-10-31T00:00:00.000Z,2014-09-05T00:00:00.000Z,337-262-7700,2017-06-20T15:10:38.000Z,WASHINGTON,DC,300 MASSACHUSETTS AVENUE NW,38.8996422693,-77.0156658133,398641.08,136865.67,20001,279643,121752,121752,2,6C,6C09,FIRST,103,8,NONE,NONE,NONE,DOWNTOWN BID
-76.984714992220717,38.906373970722804,18206885,363741,CANCELLED,General Business Licenses,400313900448,Marshall Morrison,2012-12-01T00:00:00.000Z,2014-11-30T00:00:00.000Z,2014-11-24T00:00:00.000Z,913-226-8496,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1282 HOLBROOK TERRACE NE,38.906366515,-76.984712713,401325.96,137612.11,20002,69048,43403,43403,5,5B,5B05,FIFTH,506,23,NONE,NONE,NONE,NONE
-77.060390727828874,38.969521767909825,18206888,363745,CANCELLED,General Business Licenses,400313900485,"Legacy Capital LLC; Nicole Morrill",2012-12-01T00:00:00.000Z,2014-11-30T00:00:00.000Z,2014-10-21T00:00:00.000Z,202-558-8865,2017-06-20T15:10:38.000Z,WASHINGTON,DC,2908 RITTENHOUSE STREET NW,38.9695143022,-77.0603884215,394766.78,144623.69,20015,260096,103291,103291,4,3G,3G02,SECOND,201,10,NONE,NONE,NONE,NONE
-77.033938518202717,38.902895068067913,18206961,363011,CANCELLED,Charitable Solicitation,400213000091,"WEBSTER, CHAMERLAIN & BEAN, LLP",2012-11-01T00:00:00.000Z,2014-10-31T00:00:00.000Z,2014-12-17T00:00:00.000Z,2023712830,2017-06-20T15:10:38.000Z,WASHINGTON,DC,1000 VERMONT AVENUE NW,38.9028876148,-77.0339362241,397056.36,137226.36,20005,240261,83559,83559,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
-77.070208256929433,38.90416538461951,18206973,363075,CANCELLED,Charitable Solicitation,400215000015,Michael Kummer,2014-09-01T00:00:00.000Z,2016-08-31T00:00:00.000Z,2014-12-29T00:00:00.000Z,8594686811,2017-06-20T15:10:38.000Z,WASHINGTON,DC,3530 WATER STREET NW,38.9041579325,-77.0702059516,393910.42,137369.17,20007,308557,418453,359337,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,NONE
-77.034922744829132,38.922488908861574,18206981,363417,CANCELLED,Charitable Solicitation,70101448,"VIETNAMESE-AMERICAN COMMUNITY SERVICE CENTER, INC.",2012-03-01T00:00:00.000Z,2014-02-28T00:00:00.000Z,2014-01-10T00:00:00.000Z,2022654080,2017-06-20T15:10:38.000Z,WASHINGTON,DC,2437 15TH STREET NW,38.9224814517,-77.0349204492,396971.82,139401.47,20009,234197,76879,76879,1,1B,1B06,THIRD,304,2,NONE,NONE,NONE,NONE
-77.024339511811718,38.896445403891235,18206982,363418,CANCELLED,Charitable Solicitation,70102375,CLIMATE REALITY ACTION FUND,2012-03-01T00:00:00.000Z,2014-02-28T00:00:00.000Z,2014-03-18T00:00:00.000Z,2022911131,2017-06-20T15:10:38.000Z,WASHINGTON,DC,901 E STREET NW,38.8964379516,-77.024337221,397888.79,136510.13,20004,239821,82785,82785,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
