feature_type,feature_subtype,week,year,census_block_2010,feature_id,value
Caterer,1,16.0,2017.0,1000,food_service_establishments,1
Caterer,1,16.0,2017.0,1012,food_service_establishments,2
Caterer,1,16.0,2017.0,2003,food_service_establishments,1
Caterer,1,17.0,2016.0,1000,food_service_establishments,7
Caterer,1,17.0,2016.0,2014,food_service_establishments,3
Caterer,1,19.0,2016.0,1000,food_service_establishments,2
Caterer,1,19.0,2017.0,2011,food_service_establishments,1
Caterer,1,20.0,2016.0,2014,food_service_establishments,1
Caterer,1,21.0,2015.0,2001,food_service_establishments,3
Caterer,1,21.0,2017.0,1012,food_service_establishments,5
Caterer,1,22.0,2016.0,2011,food_service_establishments,2
Caterer,1,23.0,2016.0,1000,food_service_establishments,3
Caterer,1,24.0,2016.0,2014,food_service_establishments,1
Caterer,1,24.0,2017.0,1012,food_service_establishments,2
Caterer,1,25.0,2015.0,2000,food_service_establishments,5
Caterer,1,26.0,2015.0,2011,food_service_establishments,1
Caterer,1,26.0,2016.0,2011,food_service_establishments,2
Caterer,1,26.0,2016.0,2014,food_service_establishments,2
Caterer,1,27.0,2010.0,1005,food_service_establishments,1
Caterer,1,28.0,2015.0,2010,food_service_establishments,2
Caterer,1,28.0,2016.0,2000,food_service_establishments,3
Caterer,1,28.0,2017.0,2014,food_service_establishments,2
Caterer,1,29.0,2016.0,1000,food_service_establishments,1
Caterer,1,29.0,2016.0,1012,food_service_establishments,1
Caterer,1,30.0,2016.0,2014,food_service_establishments,2
Caterer,1,30.0,2017.0,1012,food_service_establishments,1
Caterer,1,33.0,2015.0,1017,food_service_establishments,1
Caterer,1,34.0,2016.0,1012,food_service_establishments,3
Caterer,1,35.0,2017.0,2000,food_service_establishments,1
Caterer,1,36.0,2017.0,1012,food_service_establishments,2
Caterer,1,38.0,2015.0,2000,food_service_establishments,4
Caterer,1,38.0,2016.0,1012,food_service_establishments,2
Caterer,1,41.0,2015.0,1000,food_service_establishments,2
Caterer,1,41.0,2015.0,2014,food_service_establishments,1
Caterer,1,42.0,2015.0,2000,food_service_establishments,1
Caterer,1,42.0,2016.0,2014,food_service_establishments,3
Caterer,1,43.0,2015.0,2014,food_service_establishments,4
Caterer,1,44.0,2015.0,1000,food_service_establishments,1
Caterer,1,44.0,2016.0,2014,food_service_establishments,2
Caterer,1,46.0,2015.0,2011,food_service_establishments,1
Caterer,1,46.0,2015.0,2014,food_service_establishments,1
Caterer,1,46.0,2016.0,1012,food_service_establishments,2
Caterer,1,47.0,2015.0,1000,food_service_establishments,2
Caterer,1,47.0,2015.0,1012,food_service_establishments,1
Caterer,1,49.0,2016.0,2014,food_service_establishments,2
Caterer,1,50.0,2015.0,2000,food_service_establishments,2
Caterer,1,50.0,2015.0,2011,food_service_establishments,6
Caterer,1,50.0,2016.0,1012,food_service_establishments,2
Caterer,1,51.0,2015.0,2014,food_service_establishments,10
Caterer,1,51.0,2016.0,2011,food_service_establishments,2
Caterer,1,51.0,2016.0,2014,food_service_establishments,1
Caterer,1,53.0,2014.0,1017,food_service_establishments,1
Caterer,2,1.0,2015.0,2013,food_service_establishments,1
Caterer,2,4.0,2017.0,2004,food_service_establishments,1
Caterer,2,5.0,2016.0,2011,food_service_establishments,1
Caterer,2,5.0,2017.0,1026,food_service_establishments,1
Caterer,2,5.0,2017.0,2000,food_service_establishments,3
Caterer,2,6.0,2015.0,1005,food_service_establishments,1
Caterer,2,6.0,2017.0,1026,food_service_establishments,1
Caterer,2,7.0,2016.0,2011,food_service_establishments,1
Caterer,2,7.0,2017.0,1005,food_service_establishments,1
Caterer,2,7.0,2017.0,1026,food_service_establishments,1
Caterer,2,7.0,2017.0,2000,food_service_establishments,1
Caterer,2,8.0,2016.0,4002,food_service_establishments,1
Caterer,2,8.0,2017.0,1005,food_service_establishments,1
Caterer,2,10.0,2016.0,2000,food_service_establishments,1
Caterer,2,10.0,2016.0,4002,food_service_establishments,1
Caterer,2,12.0,2015.0,2000,food_service_establishments,8
Caterer,2,13.0,2017.0,1004,food_service_establishments,1
Caterer,2,14.0,2016.0,4002,food_service_establishments,1
Caterer,2,14.0,2017.0,2010,food_service_establishments,1
Caterer,2,14.0,2017.0,2030,food_service_establishments,1
Caterer,2,15.0,2015.0,1000,food_service_establishments,1
Caterer,2,15.0,2015.0,1028,food_service_establishments,1
Caterer,2,15.0,2015.0,2011,food_service_establishments,4
Caterer,2,15.0,2016.0,4002,food_service_establishments,1
Caterer,2,15.0,2017.0,2010,food_service_establishments,1
Caterer,2,15.0,2017.0,2011,food_service_establishments,1
Caterer,2,16.0,2015.0,1000,food_service_establishments,3
Caterer,2,16.0,2016.0,2004,food_service_establishments,1
Caterer,2,16.0,2017.0,1012,food_service_establishments,1
Caterer,2,16.0,2017.0,2025,food_service_establishments,1
Caterer,2,17.0,2015.0,2000,food_service_establishments,2
Caterer,2,18.0,2015.0,4002,food_service_establishments,1
Caterer,2,18.0,2017.0,1003,food_service_establishments,1
Caterer,2,19.0,2015.0,1000,food_service_establishments,1
Caterer,2,19.0,2015.0,2011,food_service_establishments,4
Caterer,2,20.0,2015.0,1014,food_service_establishments,1
Caterer,2,20.0,2015.0,1018,food_service_establishments,1
Caterer,2,21.0,2015.0,2011,food_service_establishments,1
Caterer,2,21.0,2016.0,1001,food_service_establishments,2
Caterer,2,22.0,2015.0,1020,food_service_establishments,1
Caterer,2,22.0,2015.0,4002,food_service_establishments,1
Caterer,2,22.0,2017.0,2013,food_service_establishments,1
Caterer,2,23.0,2015.0,1000,food_service_establishments,1
Caterer,2,24.0,2015.0,2011,food_service_establishments,2
Caterer,2,24.0,2015.0,2025,food_service_establishments,1
Caterer,2,24.0,2016.0,1008,food_service_establishments,1
Caterer,2,25.0,2015.0,1020,food_service_establishments,1
Caterer,2,25.0,2015.0,2010,food_service_establishments,1
Caterer,2,25.0,2016.0,1021,food_service_establishments,2
Caterer,2,26.0,2015.0,2011,food_service_establishments,3
Caterer,2,27.0,2015.0,2010,food_service_establishments,1
Caterer,2,28.0,2015.0,1028,food_service_establishments,2
Caterer,2,28.0,2016.0,1000,food_service_establishments,4
Caterer,2,28.0,2016.0,1004,food_service_establishments,1
Caterer,2,29.0,2014.0,2025,food_service_establishments,1
Caterer,2,29.0,2015.0,4002,food_service_establishments,1
Caterer,2,29.0,2016.0,1000,food_service_establishments,2
Caterer,2,29.0,2016.0,2010,food_service_establishments,1
Caterer,2,29.0,2016.0,3005,food_service_establishments,1
Caterer,2,30.0,2014.0,2025,food_service_establishments,1
Caterer,2,30.0,2015.0,1000,food_service_establishments,2
Caterer,2,32.0,2016.0,2014,food_service_establishments,2
Caterer,2,33.0,2015.0,1000,food_service_establishments,1
Caterer,2,33.0,2016.0,3005,food_service_establishments,1
Caterer,2,33.0,2017.0,1014,food_service_establishments,1
Caterer,2,33.0,2017.0,3003,food_service_establishments,1
Caterer,2,34.0,2017.0,3017,food_service_establishments,1
Caterer,2,35.0,2015.0,2011,food_service_establishments,3
Caterer,2,35.0,2016.0,2011,food_service_establishments,1
Caterer,2,35.0,2016.0,2014,food_service_establishments,1
Caterer,2,35.0,2017.0,2000,food_service_establishments,1
Caterer,2,36.0,2016.0,2000,food_service_establishments,2
Caterer,2,36.0,2016.0,3017,food_service_establishments,1
Caterer,2,36.0,2017.0,1012,food_service_establishments,2
Caterer,2,36.0,2017.0,1026,food_service_establishments,2
Caterer,2,37.0,2016.0,2014,food_service_establishments,1
Caterer,2,38.0,2014.0,1005,food_service_establishments,1
Caterer,2,38.0,2015.0,1000,food_service_establishments,2
Caterer,2,38.0,2016.0,1001,food_service_establishments,1
Caterer,2,39.0,2016.0,2011,food_service_establishments,1
Caterer,2,41.0,2015.0,1000,food_service_establishments,2
Caterer,2,42.0,2015.0,1003,food_service_establishments,1
Caterer,2,42.0,2015.0,2000,food_service_establishments,1
Caterer,2,42.0,2015.0,2013,food_service_establishments,1
Caterer,2,43.0,2016.0,1014,food_service_establishments,2
Caterer,2,44.0,2014.0,2000,food_service_establishments,6
Caterer,2,45.0,2015.0,2013,food_service_establishments,1
Caterer,2,46.0,2016.0,1012,food_service_establishments,1
Caterer,2,47.0,2015.0,1000,food_service_establishments,1
Caterer,2,49.0,2015.0,1003,food_service_establishments,1
Caterer,2,49.0,2015.0,1005,food_service_establishments,1
Caterer,2,50.0,2016.0,1012,food_service_establishments,1
Caterer,2,51.0,2014.0,1003,food_service_establishments,2
Caterer,2,51.0,2014.0,3007,food_service_establishments,1
Caterer,2,51.0,2015.0,1000,food_service_establishments,3
Caterer,2,52.0,2014.0,2000,food_service_establishments,5
Caterer,2,52.0,2016.0,1001,food_service_establishments,2
Caterer,3,1.0,2017.0,2014,food_service_establishments,1
Caterer,3,2.0,2015.0,1001,food_service_establishments,1
Caterer,3,2.0,2017.0,2014,food_service_establishments,1
Caterer,3,3.0,2015.0,1000,food_service_establishments,1
Caterer,3,3.0,2015.0,1041,food_service_establishments,1
Caterer,3,5.0,2016.0,2014,food_service_establishments,1
Caterer,3,5.0,2016.0,2019,food_service_establishments,1
Caterer,3,6.0,2015.0,1004,food_service_establishments,1
Caterer,3,6.0,2015.0,2014,food_service_establishments,1
Caterer,3,7.0,2017.0,3010,food_service_establishments,1
Caterer,3,8.0,2015.0,1019,food_service_establishments,1
Caterer,3,8.0,2015.0,2014,food_service_establishments,1
Caterer,3,8.0,2017.0,1012,food_service_establishments,1
Caterer,3,9.0,2016.0,1041,food_service_establishments,1
Caterer,3,9.0,2016.0,2000,food_service_establishments,1
Caterer,3,9.0,2017.0,2002,food_service_establishments,1
Caterer,3,10.0,2017.0,1015,food_service_establishments,1
Caterer,3,11.0,2015.0,1000,food_service_establishments,1
Caterer,3,11.0,2015.0,1019,food_service_establishments,1
Caterer,3,11.0,2016.0,3008,food_service_establishments,1
Caterer,3,11.0,2016.0,3017,food_service_establishments,1
Caterer,3,11.0,2017.0,1015,food_service_establishments,1
Caterer,3,12.0,2015.0,2000,food_service_establishments,1
Caterer,3,12.0,2015.0,3008,food_service_establishments,1
Caterer,3,12.0,2017.0,1004,food_service_establishments,1
Caterer,3,12.0,2017.0,2003,food_service_establishments,1
Caterer,3,13.0,2017.0,1034,food_service_establishments,1
Caterer,3,15.0,2015.0,2000,food_service_establishments,1
Caterer,3,15.0,2015.0,3010,food_service_establishments,1
Caterer,3,15.0,2017.0,1002,food_service_establishments,1
Caterer,3,16.0,2015.0,1000,food_service_establishments,1
Caterer,3,16.0,2015.0,2000,food_service_establishments,1
Caterer,3,16.0,2017.0,2043,food_service_establishments,1
Caterer,3,17.0,2016.0,1034,food_service_establishments,1
Caterer,3,17.0,2017.0,4002,food_service_establishments,1
Caterer,3,18.0,2015.0,6003,food_service_establishments,1
Caterer,3,18.0,2016.0,1010,food_service_establishments,1
Caterer,3,19.0,2015.0,2015,food_service_establishments,1
Caterer,3,22.0,2016.0,1003,food_service_establishments,1
Caterer,3,23.0,2015.0,1002,food_service_establishments,1
Caterer,3,23.0,2015.0,1004,food_service_establishments,1
Caterer,3,23.0,2016.0,1000,food_service_establishments,1
Caterer,3,23.0,2017.0,2014,food_service_establishments,1
Caterer,3,24.0,2016.0,1000,food_service_establishments,1
Caterer,3,24.0,2016.0,1019,food_service_establishments,1
Caterer,3,24.0,2016.0,2003,food_service_establishments,1
Caterer,3,24.0,2017.0,1032,food_service_establishments,1
Caterer,3,24.0,2017.0,2014,food_service_establishments,1
Caterer,3,25.0,2015.0,2059,food_service_establishments,1
Caterer,3,25.0,2016.0,1002,food_service_establishments,1
Caterer,3,25.0,2016.0,2059,food_service_establishments,1
Caterer,3,26.0,2015.0,1002,food_service_establishments,2
Caterer,3,26.0,2015.0,2001,food_service_establishments,1
Caterer,3,26.0,2016.0,1000,food_service_establishments,1
Caterer,3,26.0,2016.0,1004,food_service_establishments,1
Caterer,3,26.0,2016.0,2014,food_service_establishments,1
Caterer,3,27.0,2017.0,2011,food_service_establishments,1
Caterer,3,28.0,2014.0,2019,food_service_establishments,1
Caterer,3,28.0,2016.0,1012,food_service_establishments,1
Caterer,3,28.0,2016.0,1027,food_service_establishments,1
Caterer,3,28.0,2016.0,2003,food_service_establishments,1
Caterer,3,28.0,2016.0,6003,food_service_establishments,1
Caterer,3,29.0,2014.0,2008,food_service_establishments,1
Caterer,3,29.0,2014.0,2019,food_service_establishments,1
Caterer,3,29.0,2015.0,2014,food_service_establishments,1
Caterer,3,29.0,2016.0,1027,food_service_establishments,1
Caterer,3,29.0,2017.0,1032,food_service_establishments,1
Caterer,3,30.0,2014.0,2000,food_service_establishments,1
Caterer,3,30.0,2015.0,1000,food_service_establishments,1
Caterer,3,30.0,2015.0,2014,food_service_establishments,1
Caterer,3,30.0,2016.0,2014,food_service_establishments,1
Caterer,3,33.0,2015.0,1003,food_service_establishments,1
Caterer,3,33.0,2015.0,3010,food_service_establishments,1
Caterer,3,33.0,2016.0,1001,food_service_establishments,1
Caterer,3,33.0,2017.0,1012,food_service_establishments,1
Caterer,3,34.0,2015.0,2014,food_service_establishments,1
Caterer,3,34.0,2015.0,2015,food_service_establishments,1
Caterer,3,34.0,2016.0,6003,food_service_establishments,1
Caterer,3,34.0,2017.0,3017,food_service_establishments,1
Caterer,3,35.0,2014.0,2010,food_service_establishments,1
Caterer,3,35.0,2015.0,3010,food_service_establishments,1
Caterer,3,35.0,2016.0,1034,food_service_establishments,1
Caterer,3,36.0,2015.0,1003,food_service_establishments,1
Caterer,3,36.0,2015.0,2019,food_service_establishments,1
Caterer,3,36.0,2016.0,2001,food_service_establishments,1
Caterer,3,36.0,2017.0,1026,food_service_establishments,1
Caterer,3,37.0,2014.0,1000,food_service_establishments,1
Caterer,3,37.0,2015.0,2019,food_service_establishments,1
Caterer,3,37.0,2016.0,2003,food_service_establishments,1
Caterer,3,37.0,2017.0,1041,food_service_establishments,1
Caterer,3,38.0,2016.0,3010,food_service_establishments,1
Caterer,3,39.0,2014.0,1004,food_service_establishments,1
Caterer,3,39.0,2016.0,1015,food_service_establishments,1
Caterer,3,39.0,2016.0,2003,food_service_establishments,1
Caterer,3,40.0,2014.0,1000,food_service_establishments,1
Caterer,3,40.0,2014.0,1012,food_service_establishments,1
Caterer,3,40.0,2014.0,2008,food_service_establishments,1
Caterer,3,41.0,2014.0,2014,food_service_establishments,2
Caterer,3,41.0,2015.0,1000,food_service_establishments,1
Caterer,3,41.0,2015.0,3008,food_service_establishments,1
Caterer,3,42.0,2014.0,2008,food_service_establishments,1
Caterer,3,42.0,2015.0,2000,food_service_establishments,1
Caterer,3,43.0,2014.0,1012,food_service_establishments,1
Caterer,3,43.0,2015.0,1002,food_service_establishments,1
Caterer,3,43.0,2016.0,1004,food_service_establishments,1
Caterer,3,44.0,2014.0,1001,food_service_establishments,1
Caterer,3,44.0,2015.0,1000,food_service_establishments,1
Caterer,3,44.0,2015.0,1010,food_service_establishments,1
Caterer,3,45.0,2016.0,2000,food_service_establishments,1
Caterer,3,46.0,2015.0,2003,food_service_establishments,1
Caterer,3,46.0,2016.0,2000,food_service_establishments,1
Caterer,3,47.0,2014.0,1019,food_service_establishments,1
Caterer,3,47.0,2014.0,2000,food_service_establishments,1
Caterer,3,47.0,2015.0,1000,food_service_establishments,1
Caterer,3,48.0,2014.0,2003,food_service_establishments,1
Caterer,3,48.0,2016.0,1027,food_service_establishments,1
Caterer,3,49.0,2014.0,2003,food_service_establishments,1
Caterer,3,49.0,2015.0,2003,food_service_establishments,1
Caterer,3,49.0,2016.0,1002,food_service_establishments,1
Caterer,3,49.0,2016.0,1026,food_service_establishments,2
Caterer,3,50.0,2014.0,1027,food_service_establishments,1
Caterer,3,50.0,2016.0,1002,food_service_establishments,1
Caterer,3,51.0,2014.0,1019,food_service_establishments,1
Caterer,3,51.0,2015.0,1000,food_service_establishments,1
Caterer,3,51.0,2016.0,1027,food_service_establishments,1
Caterer,4,2.0,2016.0,1017,food_service_establishments,1
Caterer,4,5.0,2016.0,2011,food_service_establishments,1
Caterer,4,6.0,2015.0,2014,food_service_establishments,1
Caterer,4,9.0,2016.0,1005,food_service_establishments,1
Caterer,4,10.0,2016.0,2014,food_service_establishments,1
Caterer,4,11.0,2016.0,1005,food_service_establishments,1
Caterer,4,12.0,2016.0,2014,food_service_establishments,1
Caterer,4,18.0,2015.0,1002,food_service_establishments,1
Caterer,4,18.0,2017.0,2014,food_service_establishments,1
Caterer,4,19.0,2017.0,2014,food_service_establishments,1
Caterer,4,20.0,2015.0,1005,food_service_establishments,1
Caterer,4,26.0,2015.0,2014,food_service_establishments,1
Caterer,4,26.0,2017.0,1002,food_service_establishments,1
Caterer,4,27.0,2017.0,1002,food_service_establishments,1
Caterer,4,28.0,2014.0,1005,food_service_establishments,1
Caterer,4,29.0,2014.0,1005,food_service_establishments,1
Caterer,4,29.0,2016.0,2014,food_service_establishments,1
Caterer,4,31.0,2015.0,2014,food_service_establishments,1
Caterer,4,31.0,2016.0,1005,food_service_establishments,1
Caterer,4,34.0,2014.0,2014,food_service_establishments,1
Caterer,4,34.0,2017.0,1005,food_service_establishments,1
Caterer,4,34.0,2017.0,2014,food_service_establishments,1
Caterer,4,34.0,2017.0,2025,food_service_establishments,1
Caterer,4,35.0,2014.0,1002,food_service_establishments,1
Caterer,4,35.0,2015.0,1005,food_service_establishments,1
Caterer,4,35.0,2017.0,1005,food_service_establishments,1
Caterer,4,35.0,2017.0,2014,food_service_establishments,1
Caterer,4,36.0,2016.0,1002,food_service_establishments,1
Caterer,4,38.0,2015.0,2014,food_service_establishments,1
Caterer,4,40.0,2015.0,1017,food_service_establishments,1
Caterer,4,40.0,2015.0,2014,food_service_establishments,1
Caterer,4,40.0,2016.0,1005,food_service_establishments,1
Caterer,4,41.0,2014.0,1002,food_service_establishments,1
Caterer,4,42.0,2016.0,2014,food_service_establishments,1
Caterer,4,43.0,2015.0,2004,food_service_establishments,1
Caterer,4,44.0,2015.0,2012,food_service_establishments,1
Caterer,4,50.0,2015.0,2004,food_service_establishments,1
Caterer,4,50.0,2016.0,2014,food_service_establishments,1
Caterer,4,51.0,2016.0,1002,food_service_establishments,1
Caterer,4,51.0,2016.0,1005,food_service_establishments,1
Caterer,4,51.0,2016.0,2014,food_service_establishments,1
Caterer,4,52.0,2016.0,1005,food_service_establishments,1
Commission Merchant,2,4.0,2016.0,1027,food_service_establishments,1
Commission Merchant,2,7.0,2016.0,1027,food_service_establishments,1
Commission Merchant,2,42.0,2014.0,1027,food_service_establishments,1
Delicatessen,1,1.0,2015.0,2004,food_service_establishments,1
Delicatessen,1,1.0,2017.0,1000,food_service_establishments,1
Delicatessen,1,1.0,2017.0,1014,food_service_establishments,2
Delicatessen,1,2.0,2015.0,1015,food_service_establishments,1
Delicatessen,1,2.0,2016.0,2002,food_service_establishments,1
Delicatessen,1,2.0,2016.0,3006,food_service_establishments,1
Delicatessen,1,3.0,2016.0,2023,food_service_establishments,1
Delicatessen,1,4.0,2017.0,1000,food_service_establishments,1
Delicatessen,1,4.0,2017.0,1016,food_service_establishments,1
Delicatessen,1,5.0,2016.0,1043,food_service_establishments,1
Delicatessen,1,5.0,2017.0,1014,food_service_establishments,1
Delicatessen,1,6.0,2016.0,1014,food_service_establishments,1
